"","stimulus","memorability","scaled_memory_hits","X","score_emotional","sd_emotional","score_humanmade","sd_humanmade","score_outdoors","sd_outdoors","score_shoebox","sd_shoebox","humanmade_pass","outdoors_pass","shoebox_pass","humanmade_response","outdoors_response","shoebox_response","scaled_emotional","h_index","modal_response","proportion_response","unique","scaled_name","scaled_discrim_outdoors","scaled_discrim_shoebox"
"1538","Television.jpg",-0.0788800295664272,0.203205495134516,884,0.0595258715419319,1.1442253622055,1,0,0.125,0.353553390593274,0,0,1,1,1,"human-made","indoors","larger than a shoebox",0.606060606060606,2.61436944588676,"television",0.222222222222222,1,0.618639222412807,0.602747567258157,0.66914710933028
"1539","TestTube_MultipleAndRack.jpg",0.077434122775799,0.773325701202061,1313,-0.568002907949994,0.480617616054999,1,0,0.142857142857143,0.377964473009227,0.142857142857143,0.377964473009227,1,1,1,"human-made","indoors","larger than a shoebox",0.127501429388222,3.7216117239699,"test tubes",0.105263157894737,1,0.947398513436249,0.493989696622782,0.419576416714367
"1540","TestTube_Single.jpg",0.0232936200044327,0.572982255294791,583,-0.48357754358929,0.758299785825549,1,0,0.222222222222222,0.440958551844098,1,0,1,0,1,"human-made",NA,"smaller than a shoebox",0.188107489994282,2.5366082543915,"test tube",0.294117647058824,1,0.588336192109777,0.393817973669147,0.66914710933028
"1541","Tetrahedron.jpg",-0.0137288818460203,0.415569547796222,735,0.451444720977776,1.51163851681231,1,0,0.2,0.447213595499958,0.857142857142857,0.377964473009227,1,0,1,"human-made",NA,"smaller than a shoebox",0.816466552315609,2.01574043249307,"dice",0.588235294117647,0,0.387650085763293,0.419576416714367,0.419576416714367
"1542","Thermometer_Room.jpg",0.0351910270779171,0.618202633085289,1169,-0.378994256307839,0.457892004394597,1,0,0.666666666666667,0.5,1,0,1,0,1,"human-made",NA,"smaller than a shoebox",0.27958833619211,2.34647903537061,"thermometer",0.588235294117647,1,0.510577472841624,0.196908986834574,0.66914710933028
"1543","Thermos_Decorated.jpg",-0.0814163602651853,0.195191757298226,736,-0.131652321684157,0.637683117399798,1,0,0.333333333333333,0.5,0.857142857142857,0.377964473009227,1,0,1,"human-made",NA,"smaller than a shoebox",0.484276729559748,1.94471679005285,"thermos",0.611111111111111,0,0.355060034305317,0.212936462507155,0.419576416714367
"1544","Thermos_MetalSleek.jpg",-0.0536501362493047,0.275329135661133,1600,0.0675468515549617,0.904524091838314,1,0,0.333333333333333,0.5,0.666666666666667,0.5,1,0,0,"human-made",NA,NA,0.615780445969125,3.21363885794868,"thermos",0.368421052631579,0,0.819897084048027,0.212936462507155,0.171722953634803
"1545","Thermostat_Digital.jpg",0.00712608056879849,0.503720663995421,1601,-0.504040418623179,0.774958753988744,1,0,0.25,0.462910049886276,0.5,0.534522483824849,1,0,0,"human-made",NA,NA,0.174957118353345,2.29162019342794,"thermostat",0.529411764705882,0,0.489994282447113,0.324556382369777,0
"1546","Thermostat.jpg",0.108887965824135,0.862621637092158,584,-0.375610971482476,0.412347483198001,1,0,0,0,0.857142857142857,0.377964473009227,1,1,1,"human-made","indoors","smaller than a shoebox",0.281875357347055,1.99450770024618,"thermostat",0.628571428571429,0,0.381360777587193,0.755580995993131,0.419576416714367
"1547","Thimble.jpg",0.0116130720178235,0.520320549513452,1032,0.0889514535323237,1.09896302423207,1,0,0.125,0.353553390593274,1,0,1,1,1,"human-made","indoors","smaller than a shoebox",0.62778730703259,1.77995000096154,"thimble",0.666666666666667,1,0.30188679245283,0.602747567258157,0.66914710933028
"1548","ThreeHolePunch.jpg",-0.0149083525933009,0.410990269032627,1314,-0.513005956456353,0.370361983817252,1,0,0.111111111111111,0.333333333333333,0.6,0.516397779494322,1,1,0,"human-made","indoors",NA,0.161234991423671,3.30827083453526,"hole puncher",0.166666666666667,1,0.851343624928531,0.712077847738981,0.107040641099027
"1549","Thumbtack.jpg",0.134932921434673,0.922152261018889,1315,0.243475211646301,0.691168529777933,1,0,0.428571428571429,0.534522483824849,1,0,1,0,1,"human-made",NA,"smaller than a shoebox",0.721555174385363,3.08604861231304,"na",0.166666666666667,0,0.786735277301315,0.0835718374356039,0.66914710933028
"1550","Tiara.jpg",0.0848873116372588,0.795649685174585,313,0.782077816368238,1.02052922977518,1,0,0.2,0.447213595499958,0.6,0.547722557505166,1,0,0,"human-made",NA,NA,0.906232132647227,2.1333874913166,"tiara",0.588235294117647,1,0.427101200686106,0.419576416714367,0.107040641099027
"1551","Tickets_Blank.jpg",0.17228253128374,0.970234688036634,1462,-0.175102414769033,1.13971490201695,1,0,0.5,0.547722557505166,1,0,1,0,1,"human-made",NA,"smaller than a shoebox",0.444825614636935,1.51578958417468,"tickets",0.666666666666667,1,0.220125786163522,0,0.66914710933028
"1552","Tickets_PrintWords.jpg",0.0758963791095298,0.767029192902118,1463,-0.207906841540024,1.02255407133229,1,0,0.375,0.517549169506766,1,0,1,0,1,"human-made",NA,"smaller than a shoebox",0.414522584333905,1.49321336436542,"ticket",0.5,1,0.20926243567753,0.137378362907842,0.66914710933028
"1553","Tie.jpg",-0.0502503196632709,0.286204922724671,1033,-0.325591983182431,0.668636341247194,1,0,0,0,1,0,1,1,1,"human-made","indoors","smaller than a shoebox",0.321326472269868,1.23198178140114,"tie",0.736842105263158,1,0.143510577472842,0.755580995993131,0.66914710933028
"1554","TigerWhite.jpg",0.156169880117077,0.951917572982255,1602,0.525033304436082,1.43612475732089,0.111111111111111,0.333333333333333,1,0,0,0,1,1,1,"natural","outdoors","larger than a shoebox",0.836477987421384,1.16354020112107,"tiger",0.789473684210526,1,0.123499142367067,0.755580995993131,0.66914710933028
"1555","TimerKitchen.jpg",-0.0833727088219154,0.19118488838008,1603,-1.05587762759712,0.470916741236925,1,0,0.142857142857143,0.377964473009227,0.857142857142857,0.377964473009227,1,1,1,"human-made","indoors","smaller than a shoebox",0,1.49738520500708,"timer",0.722222222222222,1,0.210405946255003,0.493989696622782,0.419576416714367
"1556","TinChristmas.jpg",-0.121472080251592,0.120206067544362,1170,0.698830915819189,1.87956103423797,1,0,0,0,0.375,0.517549169506766,1,1,0,"human-made","indoors",NA,0.886220697541452,3.21952828229955,"cookie tin",0.235294117647059,1,0.823327615780446,0.755580995993131,0.126502575844305
"1557","Tire_Hollow.jpg",0.0829473240828137,0.789925586720092,885,-0.530997858607998,0.61863535251097,1,0,0.75,0.462910049886276,0,0,1,0,1,"human-made",NA,"larger than a shoebox",0.152658662092624,0.614369445886757,"tire",0.888888888888889,1,0.0400228702115495,0.324556382369777,0.66914710933028
"1558","TireRims.jpg",-0.24950319555502,0.0148826559816829,314,0.37969368036725,0.955413676210408,1,0,0.5,0.547722557505166,0,0,1,0,1,"human-made",NA,"larger than a shoebox",0.791309319611206,3.39214722366453,"rim",0.222222222222222,0,0.870211549456832,0,0.66914710933028
"1559","TissueBox.jpg",-0.166066897991522,0.0589582140812822,315,-0.17166495313252,0.746761260395176,1,0,0.125,0.337831962346088,0.625,0.517549169506766,1,1,0,"human-made","indoors",NA,0.448256146369354,2.37455604838188,"tissue box",0.352941176470588,1,0.520297312750143,0.602747567258157,0.126502575844305
"1560","Toad.jpg",0.164534393716877,0.961076130509445,585,1.32150575320444,0.384502157188423,0,0,0.857142857142857,0.377964473009227,0.875,0.353553390593274,1,1,1,"natural","outdoors","smaller than a shoebox",0.973699256718125,1.25329757846304,"frog",0.529411764705882,1,0.149799885648942,0.493989696622782,0.529479107040641
"1561","Toast.jpg",0.0768655747270606,0.771036061820263,1034,-0.817623104975115,0.421875202867551,0.7,0.483045891539648,0.142857142857143,0.377964473009227,0.875,0.353553390593274,0,1,1,NA,"indoors","smaller than a shoebox",0.017724413950829,2.08149632952868,"bread",0.55,0,0.415666094911378,0.493989696622782,0.529479107040641
